StateCount, 0AvgP, 1AvgP, 0VarP, 1VarP
50,1.03,0.97,0.5142424242424242,0.26743979591836736
101,0.58,0.57,0.2864646464646465,0.2875877551020408
501,0.37,0.36,0.23545454545454547,0.23380714285714285
1001,0.04,0.03,0.03878787878787879,0.02977959183673469
5001,0.05,0.04,0.047979797979797977,0.03926020408163265
10001,0.01,0.01,0.01,0.010101020408163266
50001,0.01,0.01,0.01,0.010101020408163266
100001,0.0,0.0,0.0,0.0
500001,0.15,0.14,0.12878787878787876,0.12272959183673468
1000001,0.07,0.07,0.06575757575757575,0.06637857142857143
