 Label,Value1,Value2,Value3,Value4,Value5
 0AvgE,1.56,143.6825,731.915,1453.03,7224.115,14019.515
 0AvgE,1.185,149.6225,740.02,1443.485,7052.24,14057.555
 0AvgE,1.4575,147.245,742.82,1442.6925,-208850.57,13966.92
 0AvgE,1.485,146.2,723.14,1444.5275,7129.49,13993.525
 0AvgE,1.255,138.5075,744.0925,1447.485,7142.6975
 0AvgE,1.235,141.4575,706.7,1451.49,7147.5425
 0AvgE,1.1225,144.505,738.2375,1434.465,7113.315
 0AvgE,0.0,0.0,0.0,0.0,0.0
 0AvgE,1.205,142.015,721.815,1430.955,7116.9075
 0AvgE,1.2375,137.605,722.835,1438.2875,7114.205
 0AvgE,1.2875,140.7325,727.565,1448.615,7129.48
 0AvgE,1.31,145.5025,721.4975,1450.7375,7069.8225
 0AvgE,1.3675,151.515,721.07,1452.62,7079.61
 0AvgE,1.35,136.7,716.2725,1434.4725,6994.88
 0AvgE,1.25,140.3975,719.32,1455.34,7091.1425
